size,run,insert,query
100000,1,0.800606632232666,0.14641900062561036
100000,2,0.8255012512207032,0.1326465606689453
100000,3,0.8030356407165528,0.1506685733795166
100000,4,0.8169778347015381,0.08826074600219727
100000,5,0.8239884853363038,0.09448480606079102
250000,1,2.083248329162598,0.33840150833129884
250000,2,2.136787843704224,0.3426971912384033
250000,3,2.1104156970977783,0.3050325870513916
250000,4,2.0825881958007812,0.2965482234954834
250000,5,2.06609845161438,0.30693659782409666
500000,1,4.194909715652466,0.7051194667816162
500000,2,4.25975775718689,0.6403002262115478
500000,3,4.197894954681397,0.6786978244781494
500000,4,4.173997449874878,0.6898659706115723
500000,5,4.263959550857544,0.8126736640930176
750000,1,6.434973096847534,1.0153212070465087
750000,2,6.425271797180176,1.0338933944702149
750000,3,6.4003458499908445,1.0495287895202636
750000,4,6.374338626861572,0.9458911418914795
750000,5,6.3284203052520756,1.0232199668884276
1000000,1,8.471409177780151,1.3950129508972169
1000000,2,8.541219139099121,1.3484258651733398
1000000,3,8.592417860031128,1.3643983840942382
1000000,4,8.606220293045045,1.4076064586639405
1000000,5,8.531746196746827,1.3418850421905517
