size,run,insert,query
100000,1,0.4344518184661865,0.0067462921142578125
100000,2,0.44187498092651367,0.006864786148071289
100000,3,0.43407368659973145,0.006836891174316406
100000,4,0.4485912322998047,0.0072879791259765625
100000,5,0.4376509189605713,0.006947040557861328
250000,1,1.0794870853424072,0.018137216567993164
250000,2,1.0810470581054688,0.018192052841186523
250000,3,1.077571153640747,0.018134117126464844
250000,4,1.0704150199890137,0.018270015716552734
250000,5,1.0754492282867432,0.0182950496673584
500000,1,2.169696092605591,0.03791999816894531
500000,2,2.176361083984375,0.03870582580566406
500000,3,2.1586802005767822,0.03896617889404297
500000,4,2.1450607776641846,0.03806805610656738
500000,5,2.1526248455047607,0.03898215293884277
750000,1,3.2594120502471924,0.06008195877075195
750000,2,3.249434232711792,0.05965709686279297
750000,3,3.232387065887451,0.05866503715515137
750000,4,3.2484631538391113,0.0591282844543457
750000,5,3.2887370586395264,0.0585627555847168
1000000,1,4.331890821456909,0.08150982856750488
1000000,2,4.412598133087158,0.08173298835754395
1000000,3,4.322772026062012,0.07913994789123535
1000000,4,4.349569797515869,0.08119797706604004
1000000,5,4.362084150314331,0.08109498023986816
