size,run,insert,query
100000,1,1.0588290691375732,0.010915279388427734
100000,2,1.053394079208374,0.006802082061767578
100000,3,1.0275237560272217,0.006797075271606445
100000,4,1.0494661331176758,0.0071222782135009766
100000,5,1.0028069019317627,0.006837129592895508
250000,1,2.5092661380767822,0.018599987030029297
250000,2,2.4791340827941895,0.01827406883239746
250000,3,2.505998134613037,0.018437862396240234
250000,4,2.4633429050445557,0.01902484893798828
250000,5,2.5031189918518066,0.018848896026611328
500000,1,4.974629878997803,0.03790402412414551
500000,2,4.860690116882324,0.03880119323730469
500000,3,4.781966924667358,0.03835916519165039
500000,4,4.676311731338501,0.038516998291015625
500000,5,4.6176838874816895,0.038561105728149414
750000,1,6.974924087524414,0.05868101119995117
750000,2,6.936398029327393,0.0742788314819336
750000,3,6.946725130081177,0.058380126953125
750000,4,6.943530797958374,0.05855298042297363
750000,5,6.966756105422974,0.058631181716918945
1000000,1,9.350617170333862,0.08005023002624512
1000000,2,9.284970045089722,0.08121490478515625
1000000,3,9.2692129611969,0.0912320613861084
1000000,4,9.314977169036865,0.08082008361816406
1000000,5,9.310764789581299,0.08216118812561035
