size,run,insert,query
100000,1,1.0995869636535645,0.011610269546508789
100000,2,1.1299052238464355,0.012015104293823242
100000,3,1.1868019104003906,0.03707480430603027
100000,4,1.2103450298309326,0.012434005737304688
100000,5,1.1684861183166504,0.011942148208618164
250000,1,2.945478916168213,0.032788991928100586
250000,2,2.962985038757324,0.035405874252319336
250000,3,2.884178876876831,0.03368401527404785
250000,4,3.1030561923980713,0.030792951583862305
250000,5,3.1936440467834473,0.0469050407409668
500000,1,6.1025121212005615,0.06564998626708984
500000,2,6.061387062072754,0.11140704154968262
500000,3,6.2383129596710205,0.0512239933013916
500000,4,6.377295017242432,0.06339502334594727
500000,5,6.287409067153931,0.058287858963012695
750000,1,9.604720830917358,0.10013794898986816
750000,2,9.552573919296265,0.10081100463867188
750000,3,9.319598913192749,0.10423111915588379
750000,4,9.371022939682007,0.09317612648010254
750000,5,9.336098194122314,0.09653496742248535
1000000,1,12.529828786849976,0.12927913665771484
1000000,2,12.555332899093628,0.12203121185302734
1000000,3,11.95867919921875,0.18336796760559082
1000000,4,12.71396780014038,0.1219630241394043
1000000,5,12.856664180755615,0.13514089584350586
