size,run,insert,query
100000,1,0.6109687328338623,0.02206277847290039
100000,2,0.6141766548156739,0.020662689208984376
100000,3,0.6045804023742676,0.02019963264465332
100000,4,0.6137022972106934,0.026440238952636717
100000,5,0.6033520221710205,0.019219398498535156
250000,1,1.5429533004760743,0.052877187728881836
250000,2,1.5182633876800538,0.054443073272705075
250000,3,1.5182260036468507,0.04049558639526367
250000,4,1.4953579425811767,0.053820466995239256
250000,5,1.5330039978027343,0.05470771789550781
500000,1,3.083844709396362,0.09052214622497559
500000,2,3.1098036766052246,0.1045729637145996
500000,3,3.0059076309204102,0.09677767753601074
500000,4,3.1124300003051757,0.08811240196228028
500000,5,3.0631743907928466,0.09384160041809082
750000,1,4.6413818359375,0.126120662689209
750000,2,4.644127988815308,0.15559947967529296
750000,3,4.71080174446106,0.14636106491088868
750000,4,4.634584617614746,0.12580394744873047
750000,5,4.801136827468872,0.1388251304626465
1000000,1,6.220980978012085,0.14970951080322265
1000000,2,6.283863973617554,0.1701368808746338
1000000,3,6.147884178161621,0.17641034126281738
1000000,4,6.307976865768433,0.14790639877319336
1000000,5,6.202171897888183,0.17696118354797363
