size,run,insert,query
100000,1,0.775047779083252,0.021806955337524414
100000,2,0.7773687839508057,0.018074750900268555
100000,3,0.7447700500488281,0.014713048934936523
100000,4,0.7197859287261963,0.015712976455688477
100000,5,0.7747039794921875,0.01982426643371582
250000,1,2.066554069519043,0.034681081771850586
250000,2,1.8830928802490234,0.06143784523010254
250000,3,2.168447971343994,0.03801989555358887
250000,4,1.5034120082855225,0.03203701972961426
250000,5,2.0775160789489746,0.032735347747802734
500000,1,4.11489462852478,0.07772684097290039
500000,2,3.990204095840454,0.0879261302947998
500000,3,3.8364639282226562,0.08300113677978516
500000,4,3.8753559589385986,0.07012009620666504
500000,5,4.071064233779907,0.07760214805603027
750000,1,5.697021245956421,0.08689212799072266
750000,2,5.841058015823364,0.10638928413391113
750000,3,5.757364988327026,0.08707094192504883
750000,4,5.339809894561768,0.11640595436096191
750000,5,5.406289100646973,0.07564425468444824
1000000,1,7.852304220199585,0.14966297149658203
1000000,2,7.864974737167358,0.12986493110656738
1000000,3,7.799105882644653,0.1557159423828125
1000000,4,7.8514440059661865,0.13243484497070312
1000000,5,7.848001003265381,0.12316083908081055
