size,run,insert,query
100000,1,0.7065579891204834,0.03273797035217285
100000,2,0.7563939094543457,0.02100396156311035
100000,3,0.7114958763122559,0.020776033401489258
100000,4,0.636472225189209,0.02031397819519043
100000,5,0.6722209453582764,0.019739151000976562
250000,1,1.8684568405151367,0.03626585006713867
250000,2,2.0698130130767822,0.05715012550354004
250000,3,1.9664959907531738,0.05710005760192871
250000,4,2.124605894088745,0.05046701431274414
250000,5,1.9735538959503174,0.040534019470214844
500000,1,3.8018949031829834,0.06944704055786133
500000,2,4.131324768066406,0.09402894973754883
500000,3,4.010948181152344,0.06242990493774414
500000,4,3.9856691360473633,0.10342025756835938
500000,5,3.7015931606292725,0.06312084197998047
750000,1,5.6651451587677,0.11519098281860352
750000,2,5.666833162307739,0.08526110649108887
750000,3,6.003400802612305,0.12961101531982422
750000,4,5.951615810394287,0.07555985450744629
750000,5,5.934982061386108,0.1293928623199463
1000000,1,8.141522884368896,0.13196682929992676
1000000,2,7.313659906387329,0.1555190086364746
1000000,3,7.439903974533081,0.14691901206970215
1000000,4,7.699976921081543,0.12984299659729004
1000000,5,7.884217023849487,0.15303683280944824
