size,run,insert,query
100000,1,0.6150164127349853,0.025197315216064452
100000,2,0.6104510307312012,0.028885459899902342
100000,3,0.6068344116210938,0.021791744232177734
100000,4,0.6080976009368897,0.027692413330078124
100000,5,0.6198807239532471,0.023114967346191406
250000,1,1.4952252864837647,0.042962169647216795
250000,2,1.5241196632385254,0.059297704696655275
250000,3,1.541907835006714,0.04380521774291992
250000,4,1.5214914798736572,0.0508080005645752
250000,5,1.534245204925537,0.05455703735351562
500000,1,3.080687236785889,0.09247388839721679
500000,2,3.0851768970489504,0.09731159210205079
500000,3,3.0724789619445803,0.08671159744262695
500000,4,3.0708633422851563,0.08740324974060058
500000,5,3.0464656829833983,0.09615530967712402
750000,1,4.650155544281006,0.138822603225708
750000,2,4.644593143463135,0.1464209270477295
750000,3,4.6118824005126955,0.14732146263122559
750000,4,4.681401872634888,0.12307929992675782
750000,5,4.659817361831665,0.1424041748046875
1000000,1,6.17195348739624,0.1960130214691162
1000000,2,6.203707456588745,0.19962220191955565
1000000,3,6.228653192520142,0.21873140335083008
1000000,4,6.279990196228027,0.17201132774353028
1000000,5,6.304804039001465,0.16697335243225098
