size,run,query_no_index,query_with_index
500000,1,0.1952986717224121,0.14971303939819336
500000,2,0.1967928409576416,0.0631711483001709
500000,3,0.18402504920959473,0.09249997138977051
500000,4,0.1806640625,0.060608863830566406
500000,5,0.2075331211090088,0.06678104400634766
500000,6,0.14260077476501465,0.05683016777038574
500000,7,0.20339727401733398,0.07144498825073242
500000,8,0.17050695419311523,0.08587288856506348
500000,9,0.1783909797668457,0.06388187408447266
500000,10,0.17209339141845703,0.08517217636108398
750000,1,0.2758300304412842,0.12093210220336914
750000,2,0.2778890132904053,0.1283249855041504
750000,3,0.2571878433227539,0.11673593521118164
750000,4,0.24556994438171387,0.12246322631835938
750000,5,0.24304986000061035,0.10914087295532227
750000,6,0.2524302005767822,0.08685111999511719
750000,7,0.26894211769104004,0.08885812759399414
750000,8,0.24478602409362793,0.08658003807067871
750000,9,0.2802267074584961,0.08511590957641602
750000,10,0.26372408866882324,0.07954812049865723
