size,run,insert,query
100000,1,0.4430348873138428,0.00698089599609375
100000,2,0.4356389045715332,0.006943941116333008
100000,3,0.43965601921081543,0.006819009780883789
100000,4,0.44004392623901367,0.0069429874420166016
100000,5,0.44610118865966797,0.006994724273681641
250000,1,1.0880630016326904,0.022752046585083008
250000,2,1.1068570613861084,0.018140077590942383
250000,3,1.0900990962982178,0.017856121063232422
250000,4,1.0933499336242676,0.01811981201171875
250000,5,1.0835649967193604,0.018173933029174805
500000,1,2.1880340576171875,0.03828787803649902
500000,2,2.1754279136657715,0.03880810737609863
500000,3,2.2139110565185547,0.04044628143310547
500000,4,2.1822237968444824,0.03697490692138672
500000,5,2.1889941692352295,0.037384033203125
750000,1,3.273292064666748,0.058473825454711914
750000,2,3.3052051067352295,0.55797886848449707
750000,3,3.329730987548828,0.05725574493408203
750000,4,3.352274179458618,0.06551718711853027
750000,5,3.311187982559204,0.05738091468811035
1000000,1,4.403624773025513,0.09182596206665039
1000000,2,4.422805070877075,0.08466410636901855
1000000,3,4.406757116317749,0.08777904510498047
1000000,4,4.435682058334351,0.07816123962402344
1000000,5,4.388518810272217,0.07901692390441895
