size,run,insert,query
100000,1,0.9384150505065918,0.008510351181030273
100000,2,0.9300072193145752,0.0067598819732666016
100000,3,0.9310200214385986,0.006729841232299805
100000,4,0.9331419467926025,0.0068318843841552734
100000,5,0.9277751445770264,0.006868124008178711
250000,1,2.3421449661254883,0.017859935760498047
250000,2,2.3068647384643555,0.018301963806152344
250000,3,2.314753770828247,0.018384218215942383
250000,4,2.3110220432281494,0.01843094825744629
250000,5,2.348055124282837,0.018553972244262695
500000,1,4.606914043426514,0.0377650260925293
500000,2,4.640697002410889,0.03914904594421387
500000,3,4.669724941253662,0.038697004318237305
500000,4,4.640311241149902,0.04225587844848633
500000,5,4.635531187057495,0.0385739803314209
750000,1,6.988829851150513,0.05950212478637695
750000,2,6.944983005523682,0.06339502334594727
750000,3,7.003711938858032,0.05863809585571289
750000,4,6.966129779815674,0.05906105041503906
750000,5,6.980762243270874,0.059103965759277344
1000000,1,9.336480140686035,0.0860910415649414
1000000,2,9.381867170333862,0.0813138484954834
1000000,3,9.327420949935913,0.08361983299255371
1000000,4,9.371315956115723,0.0819542407989502
1000000,5,9.339016199111938,0.08100509643554688
