size,run,insert,query
100000,1,1.311635971069336,0.011172771453857422
100000,2,1.3138079643249512,0.011288881301879883
100000,3,1.3114640712738037,0.010985136032104492
100000,4,1.3285832405090332,0.011026859283447266
100000,5,1.3321866989135742,0.011027812957763672
250000,1,3.3987011909484863,0.02944207191467285
250000,2,3.3242831230163574,0.030514955520629883
250000,3,3.382910966873169,0.029407024383544922
250000,4,3.311011791229248,0.030781984329223633
250000,5,3.308119058609009,0.029404163360595703
500000,1,6.964538097381592,0.05947589874267578
500000,2,6.856921911239624,0.06056094169616699
500000,3,6.820397138595581,0.059693098068237305
500000,4,6.847562074661255,0.05949902534484863
500000,5,6.770357847213745,0.05893588066101074
750000,1,10.305629968643188,0.09059977531433105
750000,2,10.472771644592285,0.09661173820495605
750000,3,10.350672721862793,0.09120678901672363
750000,4,10.306031942367554,0.0910959243774414
750000,5,10.405220031738281,0.09871625900268555
1000000,1,13.966064214706421,0.14385700225830078
1000000,2,14.126118898391724,0.1370069980621338
1000000,3,13.981129884719849,0.13183212280273438
1000000,4,14.083154201507568,0.13045239448547363
1000000,5,14.351310968399048,0.13128209114074707
