size,run,insert,query
100000,1,0.6187493801116943,0.014513969421386719
100000,2,0.41568589210510254,0.011794805526733398
100000,3,0.44139599800109863,0.007697105407714844
100000,4,0.43109989166259766,0.010571956634521484
100000,5,0.4395771026611328,0.011600732803344727
250000,1,1.0841028690338135,0.022040128707885742
250000,2,1.0527150630950928,0.0204622745513916
250000,3,1.0400660037994385,0.026535987854003906
250000,4,1.073065996170044,0.023707151412963867
250000,5,1.103837013244629,0.03203892707824707
500000,1,2.2800111770629883,0.04524111747741699
500000,2,2.21614408493042,0.044960975646972656
500000,3,2.2276558876037598,0.04436492919921875
500000,4,2.2393288612365723,0.05139923095703125
500000,5,2.358572006225586,0.05058097839355469
750000,1,3.7963831424713135,0.87947206497192383
750000,2,3.5099878311157227,0.7015768051147461
750000,3,3.5945839881896973,0.72030506134033203
750000,4,3.401045083999634,0.78420014381408691
750000,5,3.512477397918701,0.87866621017456055
1000000,1,4.93846583366394,0.23331117630004883
1000000,2,4.698852062225342,0.27349090576171875
1000000,3,4.7240309715271,0.1883080005645752
1000000,4,4.748028039932251,0.21689987182617188
1000000,5,4.753964900970459,0.22097206115722656
